TRANSACTION_ID,TX_DATETIME,CUSTOMER_ID,TERMINAL_ID,TX_AMOUNT,TX_TIME_SECONDS,TX_TIME_DAYS,TX_FRAUD,TX_FRAUD_SCENARIO
28818,2018-04-04 00:00:26,3113,5738,3.14,259226,3,0,0
28819,2018-04-04 00:00:33,179,5416,61.46,259233,3,0,0
28820,2018-04-04 00:01:19,1985,9821,49.69,259279,3,0,0
28821,2018-04-04 00:01:28,301,7131,50.69,259288,3,0,0
28822,2018-04-04 00:01:47,350,3277,27.76,259307,3,0,0
28823,2018-04-04 00:02:05,3620,2566,18.48,259325,3,0,0
28824,2018-04-04 00:02:10,3116,6230,50.15,259330,3,0,0
28825,2018-04-04 00:03:59,2908,5095,37.38,259439,3,0,0
28826,2018-04-04 00:04:00,3880,6757,75.57,259440,3,0,0
28827,2018-04-04 00:04:46,4882,4725,19.73,259486,3,0,0
28828,2018-04-04 00:04:46,761,3672,58.39,259486,3,0,0
28829,2018-04-04 00:05:12,494,8943,75.58,259512,3,0,0
28830,2018-04-04 00:07:09,4163,4357,128.35,259629,3,0,0
28831,2018-04-04 00:07:46,2084,3484,43.99,259666,3,0,0
28832,2018-04-04 00:08:07,1811,5476,86.42,259687,3,0,0
28833,2018-04-04 00:08:42,3514,5843,65.2,259722,3,0,0
28834,2018-04-04 00:08:55,40,701,78.51,259735,3,0,0
28835,2018-04-04 00:10:58,2255,2781,110.01,259858,3,0,0
28836,2018-04-04 00:11:08,1033,3107,24.02,259868,3,0,0
28837,2018-04-04 00:11:48,124,5639,46.35,259908,3,0,0
28838,2018-04-04 00:13:20,3402,4973,92.76,260000,3,0,0
28839,2018-04-04 00:14:20,1272,6478,74.47,260060,3,0,0
28840,2018-04-04 00:17:17,3319,7550,80.31,260237,3,0,0
28841,2018-04-04 00:19:10,1219,9253,88.74,260350,3,0,0
28842,2018-04-04 00:21:06,1876,7390,44.77,260466,3,0,0
28843,2018-04-04 00:21:23,3507,7632,76.21,260483,3,0,0
28844,2018-04-04 00:21:58,2555,3701,30.65,260518,3,0,0
28845,2018-04-04 00:22:49,4841,608,45.54,260569,3,0,0
28846,2018-04-04 00:23:17,927,5897,39.83,260597,3,0,0
28847,2018-04-04 00:23:49,3345,7177,58.67,260629,3,0,0
28848,2018-04-04 00:23:55,587,8676,15.02,260635,3,0,0
28849,2018-04-04 00:24:40,2786,5068,64.9,260680,3,0,0
28850,2018-04-04 00:25:41,947,4544,82.52,260741,3,0,0
28851,2018-04-04 00:26:26,1704,1742,107.27,260786,3,0,0
28852,2018-04-04 00:27:56,1771,4471,36.66,260876,3,0,0
28853,2018-04-04 00:28:03,3709,2108,139.26,260883,3,0,0
28854,2018-04-04 00:28:34,4126,8189,17.0,260914,3,0,0
28855,2018-04-04 00:30:30,1204,3860,63.02,261030,3,0,0
28856,2018-04-04 00:30:39,3553,6603,114.29,261039,3,0,0
28857,2018-04-04 00:30:54,1711,9083,112.09,261054,3,0,0
28858,2018-04-04 00:31:06,1696,144,14.25,261066,3,0,0
28859,2018-04-04 00:31:37,2222,4521,5.38,261097,3,0,0
28860,2018-04-04 00:32:13,4567,267,34.09,261133,3,0,0
28861,2018-04-04 00:32:54,2359,9094,95.97,261174,3,0,0
28862,2018-04-04 00:33:00,879,4858,36.04,261180,3,0,0
28863,2018-04-04 00:33:17,1804,1677,112.09,261197,3,0,0
28864,2018-04-04 00:33:57,431,329,46.51,261237,3,0,0
28865,2018-04-04 00:34:45,1902,2219,33.93,261285,3,0,0
28866,2018-04-04 00:36:41,1263,1235,58.39,261401,3,0,0
28867,2018-04-04 00:36:51,37,5985,15.01,261411,3,0,0
28868,2018-04-04 00:37:32,1179,4300,6.65,261452,3,0,0
28869,2018-04-04 00:37:42,3386,4325,102.95,261462,3,0,0
28870,2018-04-04 00:39:27,3291,2322,5.07,261567,3,0,0
28871,2018-04-04 00:39:36,3899,473,18.81,261576,3,0,0
28872,2018-04-04 00:41:36,3811,7283,87.77,261696,3,0,0
28873,2018-04-04 00:41:47,4848,7618,28.57,261707,3,0,0
28874,2018-04-04 00:43:45,3199,4273,45.22,261825,3,0,0
28875,2018-04-04 00:43:46,1510,6661,32.98,261826,3,0,0
28876,2018-04-04 00:43:51,1819,1733,92.04,261831,3,0,0
28877,2018-04-04 00:45:11,889,9342,21.87,261911,3,0,0
