TRANSACTION_ID,TX_DATETIME,CUSTOMER_ID,TERMINAL_ID,TX_AMOUNT,TX_TIME_SECONDS,TX_TIME_DAYS,TX_FRAUD,TX_FRAUD_SCENARIO
642571,2018-06-07 00:00:22,3813,5407,4.5,5788822,67,0,0
642572,2018-06-07 00:02:36,4658,5921,35.34,5788956,67,0,0
642573,2018-06-07 00:03:38,1441,1860,6.79,5789018,67,0,0
642574,2018-06-07 00:04:54,4882,1930,41.72,5789094,67,0,0
642575,2018-06-07 00:05:22,4279,5176,13.29,5789122,67,0,0
642576,2018-06-07 00:05:55,2372,42,45.38,5789155,67,0,0
642577,2018-06-07 00:06:51,556,8770,6.02,5789211,67,0,0
642578,2018-06-07 00:09:50,4192,1806,87.94,5789390,67,0,0
642579,2018-06-07 00:10:54,3549,9004,7.07,5789454,67,0,0
642580,2018-06-07 00:11:12,4443,6605,26.52,5789472,67,0,0
642581,2018-06-07 00:12:07,1578,5625,4.59,5789527,67,0,0
642582,2018-06-07 00:13:09,3209,5330,11.22,5789589,67,0,0
642583,2018-06-07 00:13:09,3353,9407,23.79,5789589,67,0,0
642584,2018-06-07 00:14:38,3806,602,143.24,5789678,67,0,0
642585,2018-06-07 00:14:47,4673,567,18.39,5789687,67,0,0
642586,2018-06-07 00:15:22,1244,7057,29.84,5789722,67,0,0
642587,2018-06-07 00:16:41,4255,342,66.88,5789801,67,0,0
642588,2018-06-07 00:16:51,1706,8936,15.68,5789811,67,0,0
642589,2018-06-07 00:17:14,1683,7779,13.14,5789834,67,0,0
642590,2018-06-07 00:17:35,3826,8300,45.76,5789855,67,0,0
642591,2018-06-07 00:17:45,1716,920,96.59,5789865,67,0,0
642592,2018-06-07 00:18:31,3941,2324,6.6,5789911,67,0,0
642593,2018-06-07 00:19:07,2418,7561,12.66,5789947,67,0,0
642594,2018-06-07 00:19:55,2052,4764,5.69,5789995,67,0,0
642595,2018-06-07 00:20:38,4267,1082,22.53,5790038,67,0,0
642596,2018-06-07 00:21:00,1208,6010,117.35,5790060,67,0,0
642597,2018-06-07 00:21:03,2163,3583,53.31,5790063,67,0,0
642598,2018-06-07 00:22:58,157,5839,15.34,5790178,67,0,0
642599,2018-06-07 00:23:24,3338,923,13.97,5790204,67,0,0
